Iteration,SecondaryIndex Read time (ms),SecondaryIndex Write time (ms),SecondaryIndex Del time (ms),SecondaryIndex Total time (ms),SE links,Imprint links,Checksum links,Sec. Index Size (bytes),Schema Elements (SE),Schema Relations (SR),Index Size (bytes),Graph Size (bytes),SG Read time (ms),SG Write time (ms),SG Del time (ms)
0,0,0,0,0,293,2155328,2128094,44699018,340,1938,0,0,0,0,0
1,0,0,0,0,293,2153368,2153368,45449742,344,1975,0,0,0,0,0
2,0,0,0,0,291,2173136,2173136,45661697,341,1951,0,0,0,0,0
3,0,0,0,0,288,2165053,2165053,45310170,340,1934,0,0,0,0,0
4,0,0,0,0,291,2174273,2174273,45156425,342,1947,0,0,0,0,0
5,0,0,0,0,279,2165837,2165837,44932050,328,1853,0,0,0,0,0
6,0,0,0,0,279,2167766,2167766,44658722,327,1859,0,0,0,0,0
7,0,0,0,0,288,2152041,2152041,44222978,341,1901,0,0,0,0,0
8,0,0,0,0,280,2172846,2172846,44462680,330,1875,0,0,0,0,0
9,0,0,0,0,283,2172331,2172331,44229799,337,1861,0,0,0,0,0
